length,angle,energy
0.9066666666666667,1.9458461538461538,-75.9810770198504
0.9107692307692309,1.9458461538461538,-75.98189007991249
0.9148717948717949,1.9458461538461538,-75.98261083327264
0.9189743589743591,1.9458461538461538,-75.9832418666904
0.9230769230769231,1.9458461538461538,-75.98378569976296
0.9271794871794873,1.9458461538461538,-75.98424478667191
0.9312820512820513,1.9458461538461538,-75.9846215178838
0.9353846153846155,1.9458461538461538,-75.98491838887941
0.9394871794871795,1.9458461538461538,-75.98513735591622
0.9435897435897437,1.9458461538461538,-75.98528077568366
0.9476923076923077,1.9458461538461538,-75.98535080026386
0.9517948717948719,1.9458461538461538,-75.98534952589193
0.9558974358974359,1.9458461538461538,-75.98527899439819
0.9600000000000001,1.9458461538461538,-75.98514119460879
0.9641025641025641,1.9458461538461538,-75.98493806371043
0.9682051282051283,1.9458461538461538,-75.98467148857524
0.9723076923076923,1.9458461538461538,-75.98434349101403
0.9764102564102565,1.9458461538461538,-75.9839555194095
0.9805128205128205,1.9458461538461538,-75.98350947873244
0.9846153846153847,1.9458461538461538,-75.98300706765635
0.9887179487179487,1.9458461538461538,-75.98244994070723
0.9928205128205129,1.9458461538461538,-75.98183970938952
0.996923076923077,1.9458461538461538,-75.98117794328274
1.001025641025641,1.9458461538461538,-75.98046617110424
1.005128205128205,1.9458461538461538,-75.97970608215195
1.0092307692307694,1.9458461538461538,-75.978898755795
1.0133333333333334,1.9458461538461538,-75.97804577904012
1.0174358974358975,1.9458461538461538,-75.9771485278726
1.0215384615384615,1.9458461538461538,-75.97620834239171
1.0256410256410255,1.9458461538461538,-75.97522652771428
1.0297435897435898,1.9458461538461538,-75.97420435485023
1.0338461538461539,1.9458461538461538,-75.97314327260496
0.9156923076923077,1.9274461538461538,-75.98261622511762
0.9156923076923077,1.9283897435897435,-75.98262429023126
0.9156923076923077,1.9293333333333333,-75.98263219201425
0.9156923076923077,1.930276923076923,-75.9826399306492
0.9156923076923077,1.9312205128205129,-75.98264750631826
0.9156923076923077,1.9321641025641025,-75.98265491920476
0.9156923076923077,1.9331076923076922,-75.98266216949163
0.9156923076923077,1.934051282051282,-75.98266925736236
0.9156923076923077,1.9349948717948717,-75.98267618300095
0.9156923076923077,1.9359384615384614,-75.9826829465913
0.9156923076923077,1.9368820512820513,-75.98268954831786
0.9156923076923077,1.937825641025641,-75.98269598836535
0.9156923076923077,1.9387692307692308,-75.98270226691892
0.9156923076923077,1.9397128205128205,-75.98270838416344
0.9156923076923077,1.9406564102564101,-75.98271434028491
0.9156923076923077,1.9416,-75.98272013546915
0.9156923076923077,1.9425435897435896,-75.98272576990216
0.9156923076923077,1.9434871794871795,-75.98273124377079
0.9156923076923077,1.9444307692307692,-75.98273655726153
0.9156923076923077,1.9453743589743588,-75.98274171056148
0.9156923076923077,1.9463179487179487,-75.9827467038582
0.9156923076923077,1.9472615384615384,-75.98275153733951
0.9156923076923077,1.948205128205128,-75.98275621119306
0.9156923076923077,1.949148717948718,-75.98276072560742
0.9156923076923077,1.9500923076923076,-75.98276508077113
0.9156923076923077,1.9510358974358974,-75.98276927687289
0.9156923076923077,1.951979487179487,-75.98277331410216
0.9156923076923077,1.9529230769230768,-75.98277719264821
0.9156923076923077,1.9538666666666666,-75.98278091270093
0.9156923076923077,1.9548102564102563,-75.98278447445048
0.9156923076923077,1.9557538461538462,-75.98278787808705
0.9156923076923077,1.9566974358974358,-75.98279112380146
0.9156923076923077,1.9576410256410255,-75.98279421178472
0.9156923076923077,1.9585846153846154,-75.98279714222795
0.9156923076923077,1.959528205128205,-75.98279991532272
0.9156923076923077,1.9604717948717947,-75.98280253126075
0.9156923076923077,1.9614153846153846,-75.98280499023465
0.9156923076923077,1.9623589743589742,-75.98280729243652
0.9156923076923077,1.963302564102564,-75.98280943805912
0.9156923076923077,1.9642461538461538,-75.98281142729569
0.9156923076923077,1.9458461538461538,-75.98274422719851
0.9173333333333333,1.9458461538461538,-75.98300015292244
0.918974358974359,1.9458461538461538,-75.98324196759305
0.9206153846153846,1.9458461538461538,-75.98346983119822
0.9222564102564103,1.9458461538461538,-75.98368390205192
0.9238974358974359,1.9458461538461538,-75.98388433681153
0.9255384615384615,1.9458461538461538,-75.98407129049603
0.9271794871794872,1.9458461538461538,-75.98424491650246
0.9288205128205128,1.9458461538461538,-75.98440536662332
0.9304615384615385,1.9458461538461538,-75.98455279106365
0.9321025641025641,1.9458461538461538,-75.9846873384569
0.9337435897435897,1.9458461538461538,-75.98480915588193
0.9353846153846154,1.9458461538461538,-75.9849183888794
0.937025641025641,1.9458461538461538,-75.98501518146705
0.9386666666666666,1.9458461538461538,-75.98509967615637
0.9403076923076923,1.9458461538461538,-75.9851720139685
0.9419487179487179,1.9458461538461538,-75.98523233444901
0.9435897435897436,1.9458461538461538,-75.98528077568375
0.9452307692307692,1.9458461538461538,-75.98531747431375
0.9468717948717948,1.9458461538461538,-75.98534256555101
0.9485128205128206,1.9458461538461538,-75.98535626799537
0.9501538461538462,1.9458461538461538,-75.98535854909422
0.9517948717948719,1.9458461538461538,-75.9853496202619
0.9534358974358975,1.9458461538461538,-75.98532961115271
0.9550769230769232,1.9458461538461538,-75.98529865006563
0.9567179487179488,1.9458461538461538,-75.98525686395725
0.9583589743589744,1.9458461538461538,-75.9852043784567
0.9600000000000001,1.9458461538461538,-75.98514131787881
0.9616410256410257,1.9458461538461538,-75.98506780523768
0.9632820512820514,1.9458461538461538,-75.98498396226104
0.964923076923077,1.9458461538461538,-75.98488990940234
0.9665641025641026,1.9458461538461538,-75.98478576585534
0.9682051282051283,1.9458461538461538,-75.98467164956615
0.9698461538461539,1.9458461538461538,-75.98454767724658
0.9714871794871796,1.9458461538461538,-75.98441396438666
0.9731282051282052,1.9458461538461538,-75.98427062526821
0.9747692307692308,1.9458461538461538,-75.98411777297542
0.9764102564102565,1.9458461538461538,-75.9839555194095
0.9780512820512821,1.9458461538461538,-75.98378397529926
0.9796923076923078,1.9458461538461538,-75.98360325021436
0.9501538461538462,1.9274461538461538,-75.98532674404662
0.9501538461538462,1.9283897435897435,-75.98532984583186
0.9501538461538462,1.9293333333333333,-75.98533278756409
0.9501538461538462,1.930276923076923,-75.98533556942242
0.9501538461538462,1.9312205128205129,-75.98533819158656
0.9501538461538462,1.9321641025641025,-75.98534065423598
0.9501538461538462,1.9331076923076922,-75.98534295755081
0.9501538461538462,1.934051282051282,-75.98534510171147
0.9501538461538462,1.9349948717948717,-75.98534708689839
0.9501538461538462,1.9359384615384614,-75.9853489132927
0.9501538461538462,1.9368820512820513,-75.98535058107554
0.9501538461538462,1.937825641025641,-75.98535209042862
0.9501538461538462,1.9387692307692308,-75.98535344153355
0.9501538461538462,1.9397128205128205,-75.98535463457235
0.9501538461538462,1.9406564102564101,-75.98535566972784
0.9501538461538462,1.9416,-75.98535654718246
0.9501538461538462,1.9425435897435896,-75.98535726711933
0.9501538461538462,1.9434871794871795,-75.98535782972154
0.9501538461538462,1.9444307692307692,-75.9853582351728
0.9501538461538462,1.9453743589743588,-75.98535848365722
0.9501538461538462,1.9463179487179487,-75.98535857535856
0.9501538461538462,1.9472615384615384,-75.98535851046164
0.9501538461538462,1.948205128205128,-75.98535828915115
0.9501538461538462,1.949148717948718,-75.9853579116121
0.9501538461538462,1.9500923076923076,-75.98535737802969
0.9501538461538462,1.9510358974358974,-75.98535668858986
0.9501538461538462,1.951979487179487,-75.98535584347857
0.9501538461538462,1.9529230769230768,-75.9853548428817
0.9501538461538462,1.9538666666666666,-75.98535368698606
0.9501538461538462,1.9548102564102563,-75.9853523759783
0.9501538461538462,1.9557538461538462,-75.98535091004574
0.9501538461538462,1.9566974358974358,-75.98534928937576
0.9501538461538462,1.9576410256410255,-75.98534751415579
0.9501538461538462,1.9585846153846154,-75.98534558457402
0.9501538461538462,1.959528205128205,-75.98534350081873
0.9501538461538462,1.9604717948717947,-75.98534126307828
0.9501538461538462,1.9614153846153846,-75.98533887154179
0.9501538461538462,1.9623589743589742,-75.98533632639841
0.9501538461538462,1.963302564102564,-75.98533362783726
0.9501538461538462,1.9642461538461538,-75.98533077604824
